Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,WEST
2012,1,1,1,0,12.433333333333332,36.15,849.0008921010694
2012,1,1,2,0,11.233333333333334,37.23333333333333,845.0973634834826
2012,1,1,3,0,9.966666666666669,37.67666666666667,840.9028484848936
2012,1,1,4,0,8.5,36.68666666666667,845.4522569071124
2012,1,1,5,0,7.066666666666666,38.78666666666667,862.3693859647118
2012,1,1,6,0,5.866666666666667,43.07333333333333,892.3411151883962
2012,1,1,7,0,4.6000000000000005,47.373333333333335,937.0042469765672
2012,1,1,8,0,3.2000000000000006,51.75,983.0476070425804
2012,1,1,9,0,1.7,56.91333333333333,1009.2023313551816
2012,1,1,10,0,0.4333333333333333,61.26666666666667,1008.613408096007
2012,1,1,11,0,-0.5333333333333333,64.22333333333334,985.2849903679544
2012,1,1,12,0,-1.2666666666666668,66.54666666666667,964.0653947666982
2012,1,1,13,0,-1.7000000000000002,67.68,941.2886457291368
2012,1,1,14,0,-1.1333333333333335,63.84333333333333,920.5565431776112
2012,1,1,15,0,1.0,54.0,895.5955937871462
2012,1,1,16,0,4.133333333333334,41.48333333333333,885.9990798340801
2012,1,1,17,0,7.0,28.05666666666667,888.7269142805368
2012,1,1,18,0,8.833333333333334,22.790000000000003,932.3112503212196
2012,1,1,19,0,10.133333333333333,20.86,1024.2863668883615
2012,1,1,20,0,10.966666666666669,19.953333333333333,1047.4864476815412
2012,1,1,21,0,11.3,19.723333333333333,1048.1954064642548
2012,1,1,22,0,10.966666666666669,20.32333333333333,1050.0541273569725
2012,1,1,23,0,9.166666666666666,23.62333333333333,1035.6655897825035
2012,1,2,0,0,6.433333333333334,36.31666666666667,1013.5804100000004
2012,1,2,1,0,4.566666666666666,37.943333333333335,998.2639149867651
2012,1,2,2,0,3.4000000000000004,40.09666666666667,1003.5664225979328
2012,1,2,3,0,2.333333333333333,42.70333333333334,1017.125365474217
2012,1,2,4,0,1.4,45.21333333333333,1040.2736635179383
2012,1,2,5,0,0.6333333333333334,47.36666666666667,1072.8281575941014
2012,1,2,6,0,0.0333333333333333,49.083333333333336,1128.8898774178758
2012,1,2,7,0,-0.3333333333333333,49.973333333333336,1206.819517176538
2012,1,2,8,0,-0.5,50.07,1259.83100601002
2012,1,2,9,0,-0.6000000000000001,49.97666666666667,1248.0466382079132
2012,1,2,10,0,-0.8666666666666667,50.88,1208.165773061434
2012,1,2,11,0,-1.4,53.21,1151.4174701370196
2012,1,2,12,0,-2.1,56.48333333333333,1094.8166353345753
2012,1,2,13,0,-2.733333333333333,59.76666666666667,1047.4660479456345
2012,1,2,14,0,-2.0,57.11000000000001,1013.7735930611336
2012,1,2,15,0,0.6,49.54666666666666,972.7471232082715
2012,1,2,16,0,3.966666666666667,39.14666666666667,950.806142780468
2012,1,2,17,0,6.900000000000001,31.53333333333333,954.0789061446
2012,1,2,18,0,8.833333333333334,27.39333333333333,1011.6052387557868
2012,1,2,19,0,10.166666666666666,24.92,1115.8910090685015
2012,1,2,20,0,11.033333333333331,23.473333333333333,1140.4221543644371
2012,1,2,21,0,11.333333333333334,22.99666666666667,1143.6450585336515
2012,1,2,22,0,11.066666666666668,23.47666666666667,1135.096983699534
2012,1,2,23,0,9.066666666666666,28.386666666666667,1099.5341029235135
2012,1,3,0,0,6.133333333333333,41.70333333333333,1066.8198699999998
2012,1,3,1,0,4.333333333333334,42.21,1049.608226107788
2012,1,3,2,0,3.233333333333334,44.50666666666666,1031.5150280966625
2012,1,3,3,0,2.333333333333333,46.52,1012.033726427251
2012,1,3,4,0,1.5333333333333334,48.34,1055.8902294783982
2012,1,3,5,0,0.8666666666666667,50.02666666666667,1106.58931423452
2012,1,3,6,0,0.3,51.73333333333333,1183.735908852888
2012,1,3,7,0,-0.2,53.53333333333333,1297.9902886241937
2012,1,3,8,0,-0.6000000000000001,55.31333333333333,1355.1584170567903
2012,1,3,9,0,-0.9666666666666668,57.29,1319.1404617510973
2012,1,3,10,0,-1.2000000000000002,58.94333333333333,1244.2127749953177
2012,1,3,11,0,-1.3333333333333333,60.28333333333334,1169.439312311889
2012,1,3,12,0,-1.4666666666666668,61.71,1108.7418919758788
2012,1,3,13,0,-1.5333333333333332,62.91,1055.80564350265
2012,1,3,14,0,-0.6666666666666666,60.00333333333333,1011.0812926790576
2012,1,3,15,0,1.9666666666666668,51.01333333333334,975.1541837416422
2012,1,3,16,0,5.533333333333334,41.02666666666667,956.0280155648732
2012,1,3,17,0,9.3,33.6,959.9956091401294
2012,1,3,18,0,12.566666666666668,28.473333333333333,1000.6350395402878
2012,1,3,19,0,14.866666666666667,25.28333333333333,1096.796829833689
2012,1,3,20,0,16.433333333333334,23.34,1117.9344300698212
2012,1,3,21,0,17.3,22.4,1118.687026033101
2012,1,3,22,0,17.0,23.026666666666667,1093.434049729717
2012,1,3,23,0,14.066666666666668,30.383333333333336,1043.089005830189
2012,1,4,0,0,10.533333333333331,41.48666666666667,985.15724
2012,1,4,1,0,9.033333333333331,43.23666666666667,971.5804482758716
2012,1,4,2,0,8.466666666666667,44.84,965.0946478014612
2012,1,4,3,0,7.7,47.52333333333333,965.9319390198832
2012,1,4,4,0,6.966666666666666,49.95000000000001,975.5211163944964
2012,1,4,5,0,6.133333333333334,52.18333333333334,1003.7315461643844
2012,1,4,6,0,5.233333333333333,54.403333333333336,1076.0738811453748
2012,1,4,7,0,4.466666666666667,56.60666666666666,1187.194639804762
2012,1,4,8,0,4.166666666666667,57.053333333333335,1226.011780650991
2012,1,4,9,0,4.266666666666667,55.693333333333335,1195.3014699865705
2012,1,4,10,0,4.566666666666667,53.080000000000005,1147.857382786531
2012,1,4,11,0,4.8,51.14666666666667,1096.6197125090237
2012,1,4,12,0,4.633333333333334,51.59666666666667,1048.0102760323236
2012,1,4,13,0,4.2,53.49,1000.4974608778186
2012,1,4,14,0,4.266666666666667,53.32333333333333,967.1374375218476
2012,1,4,15,0,5.766666666666667,48.10666666666666,939.413041683183
2012,1,4,16,0,8.466666666666667,40.473333333333336,923.7033844340192
2012,1,4,17,0,11.2,33.47,927.2356410035565
2012,1,4,18,0,13.266666666666666,28.74666666666667,959.8973754247842
2012,1,4,19,0,14.7,25.34,1051.5825526593037
2012,1,4,20,0,15.5,23.3,1069.0979175039818
2012,1,4,21,0,15.6,22.563333333333333,1070.9471963011429
2012,1,4,22,0,14.966666666666669,23.036666666666665,1056.5880856000572
2012,1,4,23,0,12.333333333333334,28.84,1021.7505576601312
2012,1,5,0,0,8.866666666666667,39.87,981.0096299999998
2012,1,5,1,0,7.033333333333334,42.946666666666665,973.338838016292
2012,1,5,2,0,6.400000000000001,43.88999999999999,979.0804954502188
